ADAM LEVINE;;;;;
SAAT;PAZARTESI;SALI;CARSAMBA;PERSEMBE;CUMA
08.00 - 09.00;ders;free;ders;free;free
09.00 - 10.00;ders;ders;ders;free;free
10.00 - 11.00;ofis saati;ders;free;free;free
11.00 - 12.00;ofis saati;ders;free;doktora ders;free
12.00 - 13.00;free;free;free;doktora ders;free
13.00 - 14.00;ofis saati;ders;free;free;doktora ders
14.00 - 15.00;ofis saati;ders;free;free;doktora ders
15.00 - 16.00;ofis saati;ders;ofis saati;free;doktora ders
16.00 - 17.00;lab;ders;ofis saati;free;doktora ders
17.00 - 18.00;lab;ders;free;lab;free
18.00 - 19.00;free;free;free;lab;free
lab;4;;;;
ders yard;12;;;;
diger;13;;;;
