SINAV;GUN;SAAT;SURE-DK;GOREVLILER
Mesleki E. Ve H.;Pazartesi;09.00;50;
Veri Yapilari ve A.;Pazartesi;10.00;90;
Istatistiksel V.A.;Pazartesi;10.00;75;
Dosya Duzenleme ;Pazartesi;10.00;75;
Veri Madenciligi;Pazartesi;10.00;60;
Muhendislik Mat.;Pazartesi;13.00;30;
Microislemciler;Pazartesi;15.00;90;
Bicimsel Diller;Pazartesi;15.00;90;
Veri Tabani;Sali;09.00;90;
Yaz. K.T.S.;Sali;09.00;80;
Buy. Veri.;Sali;09.00;80;
Veri Iletisimi;Sali;11.00;90;
Isletim Sistemleri;Sali;13.00;90;
Programlama Dilleri;Sali;15.00;90;
Mesleki Ingilizce;Carsamba;09.00;75;
Mesleki Terminoloji;Carsamba;09.00;75;
BBG1;Carsamba;10.00;90;
Akademik Rapor H.;Carsamba;12.00;50;
Devre Teorisi;Carsamba;13.00;75;
Assembly Dili;Carsamba;15.00;90;
Bilisim Sis. Guv.;Persembe;09.00;75;
Goruntu Isleme;Persembe;09.00;75;
Nesneye D.K.;Persembe;11.00;80;
Algoritma Analizi;Persembe;13.00;80;
Yon. Bilg. Sis.;Persembe;13.00;80;
Ayrik Mat.;Persembe;15.00;80;
Istatistik ve O.;Cuma;09.00;75;
Dagitik Sis.;Cuma;09.00;75;
Lojik Devre Tas.;Cuma;10.00;90;
Bilg. Gr. Giris;Cuma;14.00;90;
Sayisal I.S.;Cuma;16.00;90;
